SOC,Communication,Responsibility,Physical,Criticality,Routine,Skills,Complementarity
15-2041.00,0.64,0.355,0.22,0.5766666666666667,0.755,1.0,0.5911111111111111
15-2041.01,0.595,0.39,0.215,0.5433333333333333,0.775,1.0,0.5863888888888888
15-2051.01,0.6,0.31,0.22,0.6,0.72,0.8,0.5416666666666666
15-2051.02,0.545,0.375,0.245,0.4933333333333333,0.7,0.8,0.5263888888888889
15-2099.01,0.55,0.49,0.315,0.5366666666666666,0.62,0.8,0.5519444444444445
17-1011.00,0.665,0.555,0.475,0.6233333333333333,0.73,1.0,0.6747222222222223
17-1012.00,0.615,0.525,0.485,0.5366666666666666,0.715,0.8,0.6127777777777778
17-1021.00,0.61,0.37,0.4,0.58,0.66,0.8,0.57
17-1022.00,0.61,0.73,0.725,0.7066666666666666,0.66,0.8,0.7052777777777778
17-1022.01,0.605,0.5,0.59,0.5566666666666666,0.63,0.8,0.6136111111111111
17-2011.00,0.665,0.465,0.32,0.5933333333333333,0.815,0.8,0.6097222222222222
17-2021.00,0.58,0.605,0.545,0.5833333333333333,0.75,0.8,0.6438888888888888
17-2031.00,0.605,0.57,0.275,0.5333333333333333,0.705,0.8,0.5813888888888888
17-2041.00,0.635,0.63,0.455,0.6933333333333332,0.705,0.8,0.6530555555555556
17-2051.00,0.635,0.55,0.445,0.6966666666666665,0.71,0.8,0.6394444444444445
17-2051.01,0.635,0.645,0.48,0.6566666666666666,0.705,0.8,0.6536111111111111
17-2051.02,0.685,0.57,0.47,0.54,0.745,0.8,0.6349999999999999
17-2061.00,0.605,0.475,0.27,0.5366666666666666,0.665,0.8,0.5586111111111111
17-2071.00,0.625,0.61,0.425,0.7233333333333333,0.8,0.8,0.6638888888888889
17-2072.00,0.605,0.36,0.275,0.56,0.855,0.8,0.5758333333333333
17-2072.01,0.62,0.485,0.29,0.6533333333333333,0.785,0.8,0.6055555555555556
17-2081.00,0.625,0.71,0.52,0.5966666666666667,0.74,0.8,0.6652777777777777
17-2111.00,0.725,0.675,0.53,0.7033333333333333,0.76,0.8,0.6988888888888889
17-2111.02,0.595,0.58,0.4,0.6166666666666667,0.78,0.8,0.6286111111111111
17-2112.00,0.75,0.635,0.345,0.71,0.785,0.8,0.6708333333333334
17-2112.01,0.675,0.615,0.47,0.59,0.85,1.0,0.7000000000000001
17-2112.02,0.675,0.495,0.37,0.62,0.78,0.8,0.6233333333333334
17-2112.03,0.685,0.66,0.39,0.6233333333333333,0.675,0.8,0.6388888888888888
17-2121.00,0.61,0.525,0.585,0.6366666666666666,0.78,0.8,0.6561111111111111
17-2131.00,0.685,0.675,0.32,0.5733333333333333,0.735,0.8,0.6313888888888889
17-2141.00,0.665,0.605,0.36,0.6433333333333333,0.78,0.8,0.6422222222222222
17-2141.01,0.645,0.615,0.31,0.5066666666666666,0.695,0.8,0.5952777777777777
17-2141.02,0.705,0.61,0.43,0.59,0.745,0.8,0.6466666666666666
17-2151.00,0.615,0.575,0.475,0.6433333333333333,0.795,0.8,0.6505555555555556
17-2161.00,0.57,0.635,0.36,0.6033333333333333,0.745,0.8,0.6188888888888888
17-2171.00,0.69,0.675,0.295,0.6333333333333333,0.82,0.8,0.6522222222222221
17-2199.03,0.625,0.635,0.37,0.5933333333333333,0.75,0.8,0.6288888888888889
17-2199.05,0.655,0.535,0.27,0.6766666666666665,0.81,0.8,0.6244444444444445
17-2199.06,0.665,0.54,0.36,0.61,0.815,1.0,0.6649999999999999
17-2199.07,0.685,0.465,0.285,0.5566666666666666,0.73,0.8,0.5869444444444444
17-2199.08,0.7,0.67,0.4,0.6933333333333332,0.67,0.8,0.6555555555555556
17-2199.09,0.68,0.68,0.3,0.6466666666666666,0.735,1.0,0.673611111111111
17-2199.10,0.555,0.39,0.335,0.5833333333333333,0.8,0.8,0.5772222222222222
17-2199.11,0.615,0.705,0.615,0.7366666666666666,0.695,0.8,0.6944444444444443
17-3011.00,0.675,0.43,0.41,0.56,0.635,0.6,0.5516666666666666
17-3012.00,0.58,0.41,0.385,0.5933333333333333,0.655,0.6,0.5372222222222222
17-3013.00,0.575,0.36,0.265,0.6066666666666667,0.805,0.6,0.5352777777777779
17-3021.00,0.55,0.59,0.35,0.7633333333333333,0.735,0.6,0.5980555555555556
17-3022.00,0.64,0.565,0.6,0.62,0.61,0.6,0.6058333333333333
17-3023.00,0.595,0.6,0.445,0.6766666666666665,0.78,0.6,0.6161111111111112
17-3024.00,0.59,0.625,0.47,0.7,0.64,0.6,0.6041666666666666
17-3024.01,0.615,0.665,0.475,0.6933333333333332,0.595,0.6,0.6072222222222222
17-3025.00,0.575,0.64,0.575,0.6,0.725,0.8,0.6525
17-3026.00,0.64,0.62,0.355,0.73,0.745,0.6,0.615
17-3026.01,0.635,0.65,0.335,0.6133333333333333,0.68,0.8,0.6188888888888889
17-3027.00,0.61,0.68,0.49,0.7066666666666666,0.715,0.6,0.633611111111111
17-3027.01,0.655,0.585,0.54,0.6133333333333333,0.62,0.6,0.6022222222222223
17-3029.01,0.63,0.68,0.68,0.7366666666666666,0.615,0.4,0.6236111111111111
17-3029.08,0.55,0.51,0.42,0.61,0.645,0.6,0.5558333333333333
17-3031.00,0.55,0.495,0.555,0.6533333333333333,0.66,0.6,0.5855555555555556
19-1011.00,0.685,0.59,0.525,0.6733333333333333,0.77,1.0,0.7072222222222222
19-1012.00,0.67,0.555,0.385,0.6333333333333333,0.71,0.8,0.6255555555555555
19-1013.00,0.655,0.67,0.545,0.58,0.765,1.0,0.7025
19-1021.00,0.635,0.64,0.275,0.6966666666666665,0.715,1.0,0.6602777777777776
19-1022.00,0.675,0.655,0.38,0.7,0.675,0.8,0.6475
19-1023.00,0.61,0.705,0.58,0.6433333333333333,0.87,0.8,0.7013888888888888
19-1029.01,0.755,0.515,0.205,0.59,0.88,1.0,0.6575
19-1029.02,0.7,0.61,0.28,0.5333333333333333,0.74,1.0,0.6438888888888888
19-1029.03,0.68,0.525,0.295,0.61,0.785,1.0,0.6491666666666667
19-1029.04,0.63,0.68,0.525,0.5966666666666667,0.895,1.0,0.721111111111111
19-1031.00,0.62,0.535,0.6,0.5466666666666666,0.725,0.8,0.6377777777777779
19-1031.02,0.745,0.61,0.605,0.6133333333333333,0.77,0.8,0.6905555555555556
19-1031.03,0.8,0.54,0.665,0.48666666666666664,0.88,0.8,0.6952777777777778
19-1032.00,0.565,0.555,0.63,0.75,0.84,0.8,0.69
19-1041.00,0.705,0.51,0.3,0.5933333333333333,0.79,1.0,0.6497222222222222
19-1042.00,0.66,0.625,0.285,0.6766666666666665,0.745,1.0,0.6652777777777777
19-2011.00,0.625,0.39,0.305,0.5033333333333333,0.86,1.0,0.6138888888888888
19-2012.00,0.685,0.435,0.205,0.5033333333333333,0.87,1.0,0.616388888888889
19-2021.00,0.705,0.455,0.35,0.5466666666666666,0.655,0.8,0.5852777777777778
19-2031.00,0.575,0.66,0.275,0.71,0.765,0.8,0.6308333333333334
19-2032.00,0.645,0.615,0.34,0.56,0.675,0.8,0.6058333333333333
19-2041.00,0.645,0.45,0.41,0.5433333333333333,0.805,0.8,0.6088888888888889
19-2041.01,0.67,0.38,0.24,0.5033333333333333,0.83,1.0,0.6038888888888889
19-2041.02,0.655,0.545,0.55,0.5333333333333333,0.875,1.0,0.6930555555555555
19-2041.03,0.65,0.405,0.315,0.5133333333333333,0.85,1.0,0.6222222222222222
19-2042.00,0.68,0.5,0.45,0.55,0.81,1.0,0.665
19-2043.00,0.62,0.495,0.455,0.5233333333333333,0.775,1.0,0.6447222222222222
19-2099.01,0.595,0.43,0.385,0.54,0.68,0.8,0.5716666666666667
19-3011.00,0.685,0.4,0.2,0.6233333333333333,0.785,1.0,0.6155555555555555
19-3011.01,0.625,0.23,0.205,0.49666666666666665,0.865,1.0,0.5702777777777778
19-3022.00,0.595,0.475,0.255,0.5933333333333333,0.72,1.0,0.6063888888888888
19-3032.00,0.73,0.495,0.245,0.6633333333333333,0.855,1.0,0.6647222222222223
19-3033.00,0.655,0.43,0.345,0.7833333333333333,0.9,1.0,0.6855555555555556
19-3034.00,0.635,0.255,0.33,0.62,0.85,1.0,0.615
19-3039.02,0.595,0.4,0.35,0.6833333333333332,0.83,1.0,0.6430555555555556
19-3039.03,0.655,0.485,0.325,0.7366666666666666,0.835,1.0,0.6727777777777778
19-3041.00,0.785,0.39,0.27,0.53,0.85,1.0,0.6375000000000001
19-3051.00,0.77,0.405,0.38,0.4733333333333333,0.84,1.0,0.6447222222222222
19-3091.00,0.725,0.375,0.435,0.49,0.875,1.0,0.65
19-3092.00,0.665,0.355,0.365,0.48666666666666664,0.805,0.8,0.5794444444444444
19-3093.00,0.63,0.55,0.31,0.55,0.89,1.0,0.655
19-3094.00,0.84,0.235,0.185,0.57,0.895,1.0,0.6208333333333333
19-3099.01,0.695,0.49,0.315,0.4766666666666666,0.755,0.8,0.5886111111111111
19-4012.00,0.55,0.615,0.685,0.55,0.6,0.6,0.6000000000000001
19-4012.01,0.615,0.585,0.655,0.6866666666666665,0.71,0.6,0.6419444444444444
19-4013.00,0.615,0.76,0.345,0.7066666666666666,0.68,0.6,0.6177777777777779
19-4021.00,0.645,0.515,0.315,0.5166666666666666,0.745,0.8,0.5894444444444445
19-4031.00,0.61,0.655,0.37,0.67,0.575,0.6,0.58
19-4042.00,0.6,0.605,0.58,0.5766666666666667,0.71,0.8,0.6452777777777778
19-4043.00,0.535,0.535,0.41,0.6266666666666666,0.67,0.8,0.596111111111111
19-4051.00,0.695,0.69,0.725,0.72,0.625,0.6,0.6758333333333333
19-4051.02,0.735,0.76,0.64,0.6933333333333332,0.695,0.6,0.6872222222222222
19-4061.00,0.515,0.285,0.265,0.4233333333333333,0.78,0.8,0.5113888888888889
19-4071.00,0.72,0.72,0.765,0.7433333333333333,0.705,0.6,0.7088888888888888
19-4092.00,0.75,0.58,0.735,0.7833333333333333,0.835,0.6,0.7138888888888889
19-4099.01,0.575,0.57,0.435,0.68,0.785,0.6,0.6075
19-4099.03,0.47,0.325,0.325,0.5266666666666666,0.66,0.8,0.5177777777777778
19-5011.00,0.69,0.705,0.655,0.68,0.745,0.8,0.7125
19-5012.00,0.705,0.695,0.64,0.7566666666666666,0.72,0.6,0.686111111111111
21-1011.00,0.785,0.72,0.315,0.52,0.795,1.0,0.6891666666666666
21-1012.00,0.71,0.45,0.345,0.6566666666666666,0.83,1.0,0.6652777777777777
21-1013.00,0.585,0.285,0.26,0.7033333333333333,0.87,1.0,0.6172222222222222
21-1014.00,0.67,0.375,0.28,0.7666666666666666,0.91,1.0,0.6669444444444445
21-1015.00,0.665,0.605,0.36,0.6466666666666666,0.795,0.8,0.6452777777777777
21-1021.00,0.73,0.455,0.51,0.77,0.775,0.8,0.6733333333333333
21-1022.00,0.68,0.5,0.455,0.66,0.82,1.0,0.6858333333333334
21-1023.00,0.705,0.48,0.415,0.6533333333333333,0.81,1.0,0.6772222222222223
21-1091.00,0.81,0.605,0.405,0.6466666666666666,0.825,0.8,0.6819444444444445
21-1092.00,0.66,0.59,0.64,0.7266666666666666,0.665,0.8,0.6802777777777779
21-1093.00,0.775,0.625,0.465,0.62,0.73,0.8,0.6691666666666666
21-1094.00,0.775,0.58,0.51,0.6066666666666667,0.735,0.8,0.6677777777777778
21-2011.00,0.815,0.62,0.375,0.68,0.84,1.0,0.7216666666666667
21-2021.00,0.69,0.44,0.355,0.5466666666666666,0.945,0.8,0.6294444444444444
23-1011.00,0.645,0.54,0.23,0.8066666666666665,0.915,1.0,0.6894444444444444
23-1012.00,0.555,0.23,0.185,0.6133333333333333,0.755,1.0,0.5563888888888889
23-1021.00,0.605,0.26,0.21,0.7366666666666666,0.775,1.0,0.5977777777777777
23-1022.00,0.465,0.33,0.28,0.6566666666666666,0.815,1.0,0.5911111111111111
23-1023.00,0.89,0.535,0.345,0.8533333333333333,0.85,1.0,0.7455555555555554
23-2011.00,0.555,0.32,0.255,0.6633333333333333,0.84,0.6,0.5388888888888889
23-2093.00,0.52,0.46,0.305,0.7933333333333333,0.705,0.4,0.5305555555555556
25-1011.00,0.8,0.37,0.27,0.6033333333333333,0.81,1.0,0.6422222222222221
25-1021.00,0.815,0.425,0.26,0.5833333333333333,0.885,1.0,0.6613888888888888
25-1022.00,0.895,0.245,0.295,0.5233333333333333,0.79,1.0,0.6247222222222223
25-1031.00,0.875,0.44,0.5,0.55,0.85,1.0,0.7025
25-1032.00,0.87,0.545,0.205,0.61,0.915,1.0,0.6908333333333333
25-1041.00,0.925,0.49,0.385,0.6266666666666666,0.93,1.0,0.7261111111111113
25-1042.00,0.955,0.65,0.345,0.7,0.92,1.0,0.7616666666666667
25-1043.00,0.885,0.64,0.58,0.6533333333333333,0.9,1.0,0.7763888888888889
25-1051.00,0.855,0.53,0.42,0.62,0.895,1.0,0.7200000000000001
25-1052.00,0.9,0.765,0.195,0.6633333333333333,0.9,1.0,0.7372222222222223
25-1053.00,0.86,0.605,0.39,0.6133333333333333,0.87,1.0,0.7230555555555555
25-1054.00,0.85,0.43,0.265,0.6266666666666666,0.91,1.0,0.6802777777777779
25-1061.00,0.805,0.515,0.495,0.51,0.875,1.0,0.7000000000000001
25-1062.00,0.895,0.42,0.25,0.6366666666666666,0.895,1.0,0.6827777777777778
25-1063.00,0.835,0.225,0.275,0.5766666666666667,0.86,1.0,0.6286111111111111
25-1064.00,0.895,0.385,0.33,0.5633333333333332,0.89,1.0,0.6772222222222223
25-1065.00,0.835,0.265,0.23,0.62,0.94,1.0,0.6483333333333333
25-1066.00,0.875,0.37,0.2,0.6033333333333333,0.84,1.0,0.6480555555555555
25-1067.00,0.855,0.335,0.25,0.6233333333333333,0.925,1.0,0.6647222222222222
25-1071.00,0.88,0.605,0.31,0.7166666666666666,0.885,1.0,0.7327777777777778
25-1072.00,0.82,0.74,0.36,0.7366666666666666,0.765,1.0,0.7369444444444445
25-1081.00,0.845,0.5,0.215,0.7066666666666666,0.9,1.0,0.6944444444444443
25-1082.00,0.68,0.385,0.235,0.61,0.945,1.0,0.6425
25-1111.00,0.83,0.46,0.35,0.6566666666666666,0.83,1.0,0.6877777777777778
25-1112.00,0.83,0.335,0.225,0.6666666666666665,0.925,1.0,0.663611111111111
25-1113.00,0.81,0.38,0.28,0.6166666666666667,0.885,1.0,0.6619444444444444
25-1121.00,0.845,0.46,0.41,0.5433333333333333,0.895,1.0,0.6922222222222222
25-1122.00,0.86,0.46,0.275,0.6933333333333332,0.845,1.0,0.688888888888889
25-1123.00,0.815,0.285,0.25,0.5333333333333333,0.88,1.0,0.6272222222222222
25-1124.00,0.8,0.225,0.26,0.5633333333333332,0.885,1.0,0.6222222222222222
25-1125.00,0.835,0.21,0.18,0.6466666666666666,0.94,1.0,0.6352777777777777
25-1126.00,0.79,0.265,0.23,0.6533333333333333,0.845,1.0,0.6305555555555555
25-1192.00,0.665,0.495,0.26,0.64,0.75,1.0,0.635
25-1193.00,0.87,0.535,0.43,0.6933333333333332,0.865,1.0,0.7322222222222222
25-1194.00,0.865,0.53,0.43,0.62,0.815,0.6,0.6433333333333333
25-2011.00,0.6,0.47,0.645,0.6,0.755,0.6,0.6116666666666667
25-2012.00,0.805,0.475,0.615,0.6233333333333333,0.77,0.8,0.6813888888888889
25-2021.00,0.935,0.725,0.675,0.57,0.75,0.8,0.7425
25-2022.00,0.865,0.56,0.59,0.6166666666666667,0.89,0.8,0.7202777777777779
25-2023.00,0.77,0.565,0.495,0.7266666666666666,0.87,0.8,0.7044444444444444
25-2031.00,0.905,0.54,0.54,0.5866666666666667,0.835,0.8,0.7011111111111111
25-2032.00,0.855,0.63,0.535,0.6933333333333332,0.84,0.8,0.7255555555555556
25-2051.00,0.585,0.56,0.665,0.65,0.76,1.0,0.7033333333333333
25-2056.00,0.675,0.5,0.535,0.5033333333333333,0.83,0.8,0.6405555555555557
25-2057.00,0.73,0.68,0.58,0.5866666666666667,0.82,0.8,0.6994444444444445
25-2058.00,0.85,0.53,0.52,0.7033333333333333,0.845,0.8,0.7080555555555555
25-2059.01,0.765,0.645,0.73,0.62,0.915,1.0,0.7791666666666668
25-3011.00,0.75,0.505,0.425,0.5733333333333333,0.85,0.8,0.6505555555555556
25-3021.00,0.665,0.405,0.47,0.59,0.87,0.6,0.6
25-3031.00,0.73,0.56,0.38,0.49666666666666665,0.765,0.8,0.6219444444444444
25-3041.00,0.63,0.34,0.44,0.48666666666666664,0.86,0.6,0.5594444444444444
25-4011.00,0.66,0.35,0.265,0.5533333333333332,0.73,1.0,0.5930555555555556
25-4012.00,0.685,0.575,0.35,0.6133333333333333,0.91,1.0,0.6888888888888888
25-4013.00,0.595,0.51,0.39,0.66,0.865,0.8,0.6366666666666667
25-4022.00,0.765,0.42,0.33,0.5666666666666667,0.75,1.0,0.6386111111111111
25-4031.00,0.6,0.385,0.375,0.5833333333333333,0.7,0.6,0.5405555555555556
25-9021.00,0.72,0.5,0.53,0.6166666666666667,0.87,1.0,0.706111111111111
25-9031.00,0.825,0.55,0.375,0.51,0.865,1.0,0.6875
